initial_alias,converted_alias,name,description,namespace
CLEC18B,ENSG00000140839,CLEC18B,C-type lectin domain family 18 member B [Source:HGNC Symbol;Acc:HGNC:33849],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FRG2B,ENSG00000225899,FRG2B,FSHD region gene 2 family member B [Source:HGNC Symbol;Acc:HGNC:33518],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SPDYA,ENSG00000163806,SPDYA,speedy/RINGO cell cycle regulator family member A [Source:HGNC Symbol;Acc:HGNC:30613],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
WDR49,ENSG00000174776,WDR49,WD repeat domain 49 [Source:HGNC Symbol;Acc:HGNC:26587],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
HIBCH,ENSG00000198130,HIBCH,3-hydroxyisobutyryl-CoA hydrolase [Source:HGNC Symbol;Acc:HGNC:4908],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SLC5A3,ENSG00000198743,SLC5A3,solute carrier family 5 member 3 [Source:HGNC Symbol;Acc:HGNC:11038],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
FBXL14,ENSG00000171823,FBXL14,F-box and leucine rich repeat protein 14 [Source:HGNC Symbol;Acc:HGNC:28624],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
N4BP2L1,ENSG00000139597,N4BP2L1,NEDD4 binding protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:25037],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
RASL11A,ENSG00000122035,RASL11A,RAS like family 11 member A [Source:HGNC Symbol;Acc:HGNC:23802],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
DYNLT2,ENSG00000184786,DYNLT2,dynein light chain Tctex-type 2 [Source:HGNC Symbol;Acc:HGNC:11695],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
RSPH10B,ENSG00000155026,RSPH10B,radial spoke head 10 homolog B [Source:HGNC Symbol;Acc:HGNC:27362],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
NOXRED1,ENSG00000165555,NOXRED1,NADP dependent oxidoreductase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20487],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PLPPR5,ENSG00000117598,PLPPR5,phospholipid phosphatase related 5 [Source:HGNC Symbol;Acc:HGNC:31703],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
GPA33,ENSG00000143167,GPA33,glycoprotein A33 [Source:HGNC Symbol;Acc:HGNC:4445],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ADORA2A,ENSG00000128271,ADORA2A,adenosine A2a receptor [Source:HGNC Symbol;Acc:HGNC:263],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PPP1R15A,ENSG00000087074,PPP1R15A,protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TRAF3IP3,ENSG00000009790,TRAF3IP3,TRAF3 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:30766],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
GZMM,ENSG00000197540,GZMM,granzyme M [Source:HGNC Symbol;Acc:HGNC:4712],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ALDH8A1,ENSG00000118514,ALDH8A1,aldehyde dehydrogenase 8 family member A1 [Source:HGNC Symbol;Acc:HGNC:15471],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
NKRF,ENSG00000186416,NKRF,NFKB repressing factor [Source:HGNC Symbol;Acc:HGNC:19374],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
NPIPB9,ENSG00000196993,NPIPB9,nuclear pore complex interacting protein family member B9 [Source:HGNC Symbol;Acc:HGNC:41987],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
CEP295NL,ENSG00000178404,CEP295NL,CEP295 N-terminal like [Source:HGNC Symbol;Acc:HGNC:44659],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TBR1,ENSG00000136535,TBR1,T-box brain transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:11590],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PROCA1,ENSG00000167525,PROCA1,protein interacting with cyclin A1 [Source:HGNC Symbol;Acc:HGNC:28600],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FAM209A,ENSG00000124103,FAM209A,family with sequence similarity 209 member A [Source:HGNC Symbol;Acc:HGNC:16100],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
NXT2,ENSG00000101888,NXT2,nuclear transport factor 2 like export factor 2 [Source:HGNC Symbol;Acc:HGNC:18151],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
POU2F2,ENSG00000028277,POU2F2,POU class 2 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:9213],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CYP39A1,ENSG00000146233,CYP39A1,cytochrome P450 family 39 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:17449],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FOXD4L6,ENSG00000273514,FOXD4L6,forkhead box D4 like 6 [Source:HGNC Symbol;Acc:HGNC:31986],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
GCGR,ENSG00000215644,GCGR,glucagon receptor [Source:HGNC Symbol;Acc:HGNC:4192],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
KCTD14,ENSG00000151364,KCTD14,potassium channel tetramerization domain containing 14 [Source:HGNC Symbol;Acc:HGNC:23295],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
HSPD1,ENSG00000144381,HSPD1,heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TSSK4,ENSG00000139908,TSSK4,testis specific serine kinase 4 [Source:HGNC Symbol;Acc:HGNC:19825],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PLAC8L1,ENSG00000173261,PLAC8L1,PLAC8 like 1 [Source:HGNC Symbol;Acc:HGNC:31746],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
UBB,ENSG00000170315,UBB,ubiquitin B [Source:HGNC Symbol;Acc:HGNC:12463],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
UPK1A,ENSG00000105668,UPK1A,uroplakin 1A [Source:HGNC Symbol;Acc:HGNC:12577],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
GAGE10,ENSG00000215274,GAGE10,G antigen 10 [Source:HGNC Symbol;Acc:HGNC:30968],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CACFD1,ENSG00000160325,CACFD1,calcium channel flower domain containing 1 [Source:HGNC Symbol;Acc:HGNC:1365],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
EID3,ENSG00000255150,EID3,EP300 interacting inhibitor of differentiation 3 [Source:HGNC Symbol;Acc:HGNC:32961],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
GAST,ENSG00000184502,GAST,gastrin [Source:HGNC Symbol;Acc:HGNC:4164],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FERMT3,ENSG00000149781,FERMT3,FERM domain containing kindlin 3 [Source:HGNC Symbol;Acc:HGNC:23151],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PRSS55,ENSG00000184647,PRSS55,serine protease 55 [Source:HGNC Symbol;Acc:HGNC:30824],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PPP1R3C,ENSG00000119938,PPP1R3C,protein phosphatase 1 regulatory subunit 3C [Source:HGNC Symbol;Acc:HGNC:9293],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SELPLG,ENSG00000110876,SELPLG,selectin P ligand [Source:HGNC Symbol;Acc:HGNC:10722],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CFAP97D2,ENSG00000283361,CFAP97D2,CFAP97 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:53789],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ERICH5,ENSG00000177459,ERICH5,glutamate rich 5 [Source:HGNC Symbol;Acc:HGNC:26823],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
NPC1L1,ENSG00000015520,NPC1L1,NPC1 like intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7898],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
C9orf152,ENSG00000188959,C9orf152,chromosome 9 open reading frame 152 [Source:HGNC Symbol;Acc:HGNC:31455],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CACYBP,ENSG00000116161,CACYBP,calcyclin binding protein [Source:HGNC Symbol;Acc:HGNC:30423],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TMC4,ENSG00000167608,TMC4,transmembrane channel like 4 [Source:HGNC Symbol;Acc:HGNC:22998],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TSPYL2,ENSG00000184205,TSPYL2,TSPY like 2 [Source:HGNC Symbol;Acc:HGNC:24358],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PRR18,ENSG00000176381,PRR18,proline rich 18 [Source:HGNC Symbol;Acc:HGNC:28574],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
HEY1,ENSG00000164683,HEY1,hes related family bHLH transcription factor with YRPW motif 1 [Source:HGNC Symbol;Acc:HGNC:4880],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TMEM216,ENSG00000187049,TMEM216,transmembrane protein 216 [Source:HGNC Symbol;Acc:HGNC:25018],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FAM83C,ENSG00000125998,FAM83C,family with sequence similarity 83 member C [Source:HGNC Symbol;Acc:HGNC:16121],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FBXW10,ENSG00000171931,FBXW10,F-box and WD repeat domain containing 10 [Source:HGNC Symbol;Acc:HGNC:1211],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SPOCK2,ENSG00000107742,SPOCK2,"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:13564]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
