initial_alias,converted_alias,name,description,namespace
TMEM177,ENSG00000144120,TMEM177,transmembrane protein 177 [Source:HGNC Symbol;Acc:HGNC:28143],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
HYAL2,ENSG00000068001,HYAL2,hyaluronidase 2 [Source:HGNC Symbol;Acc:HGNC:5321],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
NPIPA7,ENSG00000214967,NPIPA7,nuclear pore complex interacting protein family member A7 [Source:HGNC Symbol;Acc:HGNC:41982],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
H1-4,ENSG00000168298,H1-4,"H1.4 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4718]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
HYLS1,ENSG00000198331,HYLS1,HYLS1 centriolar and ciliogenesis associated [Source:HGNC Symbol;Acc:HGNC:26558],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
LENG9,ENSG00000275183,LENG9,leukocyte receptor cluster member 9 [Source:HGNC Symbol;Acc:HGNC:16306],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
NGF,ENSG00000134259,NGF,nerve growth factor [Source:HGNC Symbol;Acc:HGNC:7808],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
HILPDA,ENSG00000135245,HILPDA,hypoxia inducible lipid droplet associated [Source:HGNC Symbol;Acc:HGNC:28859],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ARHGAP40,ENSG00000124143,ARHGAP40,Rho GTPase activating protein 40 [Source:HGNC Symbol;Acc:HGNC:16226],"ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
ARHGAP22,ENSG00000128805,ARHGAP22,Rho GTPase activating protein 22 [Source:HGNC Symbol;Acc:HGNC:30320],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
UFSP1,ENSG00000176125,UFSP1,UFM1 specific peptidase 1 (inactive) [Source:HGNC Symbol;Acc:HGNC:33821],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ZNF624,ENSG00000197566,ZNF624,zinc finger protein 624 [Source:HGNC Symbol;Acc:HGNC:29254],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ZHX2,ENSG00000178764,ZHX2,zinc fingers and homeoboxes 2 [Source:HGNC Symbol;Acc:HGNC:18513],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
KCNQ5,ENSG00000185760,KCNQ5,potassium voltage-gated channel subfamily Q member 5 [Source:HGNC Symbol;Acc:HGNC:6299],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
FJX1,ENSG00000179431,FJX1,four-jointed box kinase 1 [Source:HGNC Symbol;Acc:HGNC:17166],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
GLI2,ENSG00000074047,GLI2,GLI family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4318],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
METTL1,ENSG00000037897,METTL1,"methyltransferase 1, tRNA methylguanosine [Source:HGNC Symbol;Acc:HGNC:7030]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PLAU,ENSG00000122861,PLAU,"plasminogen activator, urokinase [Source:HGNC Symbol;Acc:HGNC:9052]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CCRL2,ENSG00000121797,CCRL2,C-C motif chemokine receptor like 2 [Source:HGNC Symbol;Acc:HGNC:1612],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
EML1,ENSG00000066629,EML1,EMAP like 1 [Source:HGNC Symbol;Acc:HGNC:3330],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
INKA1,ENSG00000185614,INKA1,inka box actin regulator 1 [Source:HGNC Symbol;Acc:HGNC:32480],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
HAS2,ENSG00000170961,HAS2,hyaluronan synthase 2 [Source:HGNC Symbol;Acc:HGNC:4819],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
LIF,ENSG00000128342,LIF,LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TUBGCP5,ENSG00000275835,TUBGCP5,tubulin gamma complex associated protein 5 [Source:HGNC Symbol;Acc:HGNC:18600],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CAMKK1,ENSG00000004660,CAMKK1,calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ZBED5,ENSG00000236287,ZBED5,zinc finger BED-type containing 5 [Source:HGNC Symbol;Acc:HGNC:30803],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
KRTAP2-3,ENSG00000212724,KRTAP2-3,keratin associated protein 2-3 [Source:HGNC Symbol;Acc:HGNC:18906],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
LFNG,ENSG00000106003,LFNG,LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:6560],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
DDX28,ENSG00000182810,DDX28,DEAD-box helicase 28 [Source:HGNC Symbol;Acc:HGNC:17330],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
APOL3,ENSG00000128284,APOL3,apolipoprotein L3 [Source:HGNC Symbol;Acc:HGNC:14868],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
GIMAP2,ENSG00000106560,GIMAP2,"GTPase, IMAP family member 2 [Source:HGNC Symbol;Acc:HGNC:21789]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PIF1,ENSG00000140451,PIF1,PIF1 5'-to-3' DNA helicase [Source:HGNC Symbol;Acc:HGNC:26220],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TTC30B,ENSG00000196659,TTC30B,tetratricopeptide repeat domain 30B [Source:HGNC Symbol;Acc:HGNC:26425],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
RSC1A1,ENSG00000215695,RSC1A1,regulator of solute carriers 1 [Source:HGNC Symbol;Acc:HGNC:10458],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
PWP2,ENSG00000241945,PWP2,PWP2 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:9711],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CITED4,ENSG00000179862,CITED4,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4 [Source:HGNC Symbol;Acc:HGNC:18696],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TREX2,ENSG00000183479,TREX2,three prime repair exonuclease 2 [Source:HGNC Symbol;Acc:HGNC:12270],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CSNK2A3,ENSG00000254598,CSNK2A3,casein kinase 2 alpha 3 [Source:HGNC Symbol;Acc:HGNC:2458],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
S1PR5,ENSG00000180739,S1PR5,sphingosine-1-phosphate receptor 5 [Source:HGNC Symbol;Acc:HGNC:14299],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ZNF792,ENSG00000180884,ZNF792,zinc finger protein 792 [Source:HGNC Symbol;Acc:HGNC:24751],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TREX1,ENSG00000213689,TREX1,three prime repair exonuclease 1 [Source:HGNC Symbol;Acc:HGNC:12269],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
IL1B,ENSG00000125538,IL1B,interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
HOXC5,ENSG00000172789,HOXC5,homeobox C5 [Source:HGNC Symbol;Acc:HGNC:5127],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
LIPT2,ENSG00000175536,LIPT2,lipoyl(octanoyl) transferase 2 [Source:HGNC Symbol;Acc:HGNC:37216],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
MIEF2,ENSG00000177427,MIEF2,mitochondrial elongation factor 2 [Source:HGNC Symbol;Acc:HGNC:17920],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
H1-2,ENSG00000187837,H1-2,"H1.2 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4716]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CCDC71,ENSG00000177352,CCDC71,coiled-coil domain containing 71 [Source:HGNC Symbol;Acc:HGNC:25760],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
IFIT3,ENSG00000119917,IFIT3,interferon induced protein with tetratricopeptide repeats 3 [Source:HGNC Symbol;Acc:HGNC:5411],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
SAPCD1,ENSG00000228727,SAPCD1,suppressor APC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:13938],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
CLDND2,ENSG00000160318,CLDND2,claudin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28511],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
STARD6,ENSG00000174448,STARD6,StAR related lipid transfer domain containing 6 [Source:HGNC Symbol;Acc:HGNC:18066],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
HPS6,ENSG00000166189,HPS6,HPS6 biogenesis of lysosomal organelles complex 2 subunit 3 [Source:HGNC Symbol;Acc:HGNC:18817],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
N4BP1,ENSG00000102921,N4BP1,NEDD4 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:29850],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
ZNF784,ENSG00000179922,ZNF784,zinc finger protein 784 [Source:HGNC Symbol;Acc:HGNC:33111],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
TSSK3,ENSG00000162526,TSSK3,testis specific serine kinase 3 [Source:HGNC Symbol;Acc:HGNC:15473],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
HRCT1,ENSG00000196196,HRCT1,histidine rich carboxyl terminus 1 [Source:HGNC Symbol;Acc:HGNC:33872],"ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
H1-3,ENSG00000124575,H1-3,"H1.3 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4717]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
