Gene stable ID	Chromosome/scaffold name	Gene start(bp)	Gene end(bp)	GOSlim GOA Accession(s)	GOSlim GOA Description	HN-score(HN5)
Os10g0545500	10	21320574	21322000	GO:0030312	external encapsulating structure	-43
Os01g0631900	1	25291327	25298088	GO:0003674	molecular_function	-43
Os01g0631900	1	25291327	25298088	GO:0003824	catalytic activity	-43
Os01g0631900	1	25291327	25298088	GO:0016787	hydrolase activity	-43
Os01g0631900	1	25291327	25298088	GO:0008150	biological_process	-43
Os01g0631900	1	25291327	25298088	GO:0008152	metabolic process	-43
Os01g0631900	1	25291327	25298088	GO:0006629	lipid metabolic process	-43
Os01g0631900	1	25291327	25298088	GO:0019538	protein metabolic process	-43
Os01g0631900	1	25291327	25298088	GO:0009056	catabolic process	-43
Os03g0634400	3	24226372	24227930	GO:0016740	transferase activity	-43
Os10g0545500	10	21320574	21322000	GO:0005576	extracellular region	-43
Os10g0545500	10	21320574	21322000	GO:0016787	hydrolase activity	-43
Os10g0144700	10	2709163	2711992	GO:0005488	binding	-43
Os10g0545500	10	21320574	21322000	GO:0005618	cell wall	-43
Os10g0144700	10	2709163	2711992	GO:0016020	membrane	-43
Os04g0686000	4	35054571	35056161	GO:0036211	protein modification process	-43
Os10g0545500	10	21320574	21322000	GO:0009987	cellular process	-43
Os03g0667500	3	26286254	26292018	GO:0016020	membrane	-43
Os10g0508700	10	19530118	19532281	GO:0030234	enzyme regulator activity	-43
Os10g0508700	10	19530118	19532281	GO:0008150	biological_process	-43
Os10g0508700	10	19530118	19532281	GO:0065009	regulation of molecular function	-43
Os03g0667500	3	26286254	26292018	GO:0005575	cellular_component	-43
Os12g0441600	12	14750544	14752232	GO:0009058	biosynthetic process	-43
Os03g0667500	3	26286254	26292018	GO:0005886	plasma membrane	-43
Os03g0401300	3	16301279	16306089	GO:0042221	response to chemical	-43
Os03g0667500	3	26286254	26292018	GO:0003674	molecular_function	-43
Os03g0401300	3	16301279	16306089	GO:0008152	metabolic process	-43
Os12g0441600	12	14750544	14752232	GO:0005575	cellular_component	-43
Os12g0441600	12	14750544	14752232	GO:0016740	transferase activity	-43
Os12g0441600	12	14750544	14752232	GO:0003824	catalytic activity	-43
Os12g0441600	12	14750544	14752232	GO:0003674	molecular_function	-43
Os04g0686000	4	35054571	35056161	GO:0003674	molecular_function	-43
Os10g0508700	10	19530118	19532281	GO:0003674	molecular_function	-43
Os03g0667500	3	26286254	26292018	GO:0005215	transporter activity	-43
Os03g0401300	3	16301279	16306089	GO:0008150	biological_process	-43
Os03g0634400	3	24226372	24227930	GO:0005488	binding	-43
Os12g0441600	12	14750544	14752232	GO:0005829	cytosol	-43
Os12g0441600	12	14750544	14752232	GO:0005515	protein binding	-43
Os12g0441600	12	14750544	14752232	GO:0005488	binding	-43
Os12g0441600	12	14750544	14752232	GO:0008150	biological_process	-43
Os12g0441600	12	14750544	14752232	GO:0009987	cellular process	-43
Os12g0441600	12	14750544	14752232	GO:0008152	metabolic process	-43
Os03g0634400	3	24226372	24227930	GO:0003674	molecular_function	-43
Os03g0634400	3	24226372	24227930	GO:0008150	biological_process	-43
Os03g0634400	3	24226372	24227930	GO:0019538	protein metabolic process	-43
Os03g0634400	3	24226372	24227930	GO:0036211	protein modification process	-43
Os03g0634400	3	24226372	24227930	GO:0008152	metabolic process	-43
Os03g0634400	3	24226372	24227930	GO:0007165	signal transduction	-43
Os03g0634400	3	24226372	24227930	GO:0007154	cell communication	-43
Os03g0634400	3	24226372	24227930	GO:0009987	cellular process	-43
Os03g0401300	3	16301279	16306089	GO:0009987	cellular process	-43
Os03g0401300	3	16301279	16306089	GO:0005975	carbohydrate metabolic process	-43
Os04g0686000	4	35054571	35056161	GO:0003824	catalytic activity	-43
Os02g0269600	2	9650760	9656236	GO:0019538	protein metabolic process	-43
Os04g0686000	4	35054571	35056161	GO:0008152	metabolic process	-43
Os04g0686000	4	35054571	35056161	GO:0016740	transferase activity	-43
Os02g0269600	2	9650760	9656236	GO:0003674	molecular_function	-43
Os02g0269600	2	9650760	9656236	GO:0016787	hydrolase activity	-43
Os02g0269600	2	9650760	9656236	GO:0008150	biological_process	-43
Os02g0269600	2	9650760	9656236	GO:0008152	metabolic process	-43
Os10g0545500	10	21320574	21322000	GO:0003674	molecular_function	-43
Os03g0401300	3	16301279	16306089	GO:0003824	catalytic activity	-43
Os01g0945300	1	41554884	41559339	GO:0006810	transport	-43
Os10g0545500	10	21320574	21322000	GO:0003824	catalytic activity	-43
Os10g0545500	10	21320574	21322000	GO:0016740	transferase activity	-43
Os10g0545500	10	21320574	21322000	GO:0008150	biological_process	-43
Os01g0945300	1	41554884	41559339	GO:0008150	biological_process	-43
Os01g0945300	1	41554884	41559339	GO:0009987	cellular process	-43
Os03g0401300	3	16301279	16306089	GO:0003674	molecular_function	-43
Os02g0269600	2	9650760	9656236	GO:0003824	catalytic activity	-43
Os03g0401300	3	16301279	16306089	GO:0016740	transferase activity	-43
Os04g0686000	4	35054571	35056161	GO:0008150	biological_process	-43
Os08g0300366	8	12358711	12359628	GO:0140110	transcription regulator activity	-44
Os08g0300366	8	12358711	12359628	GO:0009058	biosynthetic process	-44
Os08g0300366	8	12358711	12359628	GO:0006139	nucleobase-containing compound metabolic process	-44
Os05g0579600	5	28845110	28846124	GO:0006139	nucleobase-containing compound metabolic process	-44
Os05g0579600	5	28845110	28846124	GO:0003700	DNA-binding transcription factor activity	-44
Os05g0579600	5	28845110	28846124	GO:0140110	transcription regulator activity	-44
Os03g0210200	3	5755354	5755913	GO:0065009	regulation of molecular function	-44
Os03g0210200	3	5755354	5755913	GO:0019538	protein metabolic process	-44
Os03g0210200	3	5755354	5755913	GO:0006950	response to stress	-44
Os03g0210200	3	5755354	5755913	GO:0008152	metabolic process	-44
Os03g0210200	3	5755354	5755913	GO:0008150	biological_process	-44
Os03g0210200	3	5755354	5755913	GO:0030234	enzyme regulator activity	-44
Os03g0210200	3	5755354	5755913	GO:0003674	molecular_function	-44
Os08g0300366	8	12358711	12359628	GO:0003700	DNA-binding transcription factor activity	-44
Os08g0300366	8	12358711	12359628	GO:0008152	metabolic process	-44
Os03g0617500	3	23410223	23412753	GO:0005634	nucleus	-44
Os03g0617500	3	23410223	23412753	GO:0005622	intracellular anatomical structure	-44
Os03g0617500	3	23410223	23412753	GO:0005575	cellular_component	-44
Os03g0617500	3	23410223	23412753	GO:0007049	cell cycle	-44
Os05g0579600	5	28845110	28846124	GO:0003674	molecular_function	-44
Os03g0617500	3	23410223	23412753	GO:0009987	cellular process	-44
Os03g0617500	3	23410223	23412753	GO:0008150	biological_process	-44
Os05g0579600	5	28845110	28846124	GO:0009058	biosynthetic process	-44
Os05g0579600	5	28845110	28846124	GO:0005488	binding	-44
Os05g0579600	5	28845110	28846124	GO:0008152	metabolic process	-44
Os05g0579600	5	28845110	28846124	GO:0003677	DNA binding	-44
Os05g0579600	5	28845110	28846124	GO:0009987	cellular process	-44
Os08g0300366	8	12358711	12359628	GO:0009987	cellular process	-44
Os08g0300366	8	12358711	12359628	GO:0008150	biological_process	-44
Os08g0300366	8	12358711	12359628	GO:0003676	nucleic acid binding	-44
Os08g0300366	8	12358711	12359628	GO:0005488	binding	-44
Os05g0579600	5	28845110	28846124	GO:0003676	nucleic acid binding	-44
Os05g0579600	5	28845110	28846124	GO:0008150	biological_process	-44
Os08g0300366	8	12358711	12359628	GO:0003674	molecular_function	-44
Os05g0197200	5	5986015	5986963	GO:0005575	cellular_component	-44
Os02g0561100	2	21282321	21282860	GO:0003674	molecular_function	-44
Os02g0561100	2	21282321	21282860	GO:0003824	catalytic activity	-44
Os05g0197200	5	5986015	5986963	GO:0005618	cell wall	-44
Os09g0517900	9	20196707	20203865	GO:0016740	transferase activity	-44
Os05g0197200	5	5986015	5986963	GO:0030312	external encapsulating structure	-44
Os09g0517900	9	20196707	20203865	GO:0003824	catalytic activity	-44
Os09g0517900	9	20196707	20203865	GO:0003674	molecular_function	-44
Os09g0517900	9	20196707	20203865	GO:0005622	intracellular anatomical structure	-44
Os09g0517900	9	20196707	20203865	GO:0005575	cellular_component	-44
Os04g0453200	4	22611924	22620016	GO:0005886	plasma membrane	-45
Os04g0453200	4	22611924	22620016	GO:0016020	membrane	-45
Os08g0547300	8	27420633	27422835	GO:0005575	cellular_component	-45
Os04g0453200	4	22611924	22620016	GO:0005575	cellular_component	-45
Os09g0400400	9	14001271	14002927	GO:0003674	molecular_function	-45
Os06g0193200	6	4700512	4703042	GO:0009056	catabolic process	-45
Os09g0400400	9	14001271	14002927	GO:0005488	binding	-45
Os09g0400400	9	14001271	14002927	GO:0008150	biological_process	-45
Os04g0453200	4	22611924	22620016	GO:0005215	transporter activity	-45
Os04g0453200	4	22611924	22620016	GO:0009987	cellular process	-45
Os04g0453200	4	22611924	22620016	GO:0008150	biological_process	-45
Os04g0453200	4	22611924	22620016	GO:0006810	transport	-45
Os04g0453200	4	22611924	22620016	GO:0003674	molecular_function	-45
Os10g0463200	10	17070925	17072455	GO:0003824	catalytic activity	-45
Os08g0547300	8	27420633	27422835	GO:0016020	membrane	-45
Os03g0162200	3	3371375	3372344	GO:0003676	nucleic acid binding	-45
Os03g0162200	3	3371375	3372344	GO:0005515	protein binding	-45
Os03g0162200	3	3371375	3372344	GO:0005488	binding	-45
Os03g0162200	3	3371375	3372344	GO:0008150	biological_process	-45
Os03g0162200	3	3371375	3372344	GO:0009987	cellular process	-45
Os03g0162200	3	3371375	3372344	GO:0016043	cellular component organization	-45
Os03g0162200	3	3371375	3372344	GO:0005575	cellular_component	-45
Os06g0193200	6	4700512	4703042	GO:0003824	catalytic activity	-45
Os03g0162200	3	3371375	3372344	GO:0003677	DNA binding	-45
Os06g0193200	6	4700512	4703042	GO:0005975	carbohydrate metabolic process	-45
Os03g0162200	3	3371375	3372344	GO:0005634	nucleus	-45
Os03g0162200	3	3371375	3372344	GO:0005198	structural molecule activity	-45
Os09g0400400	9	14001271	14002927	GO:0003824	catalytic activity	-45
Os09g0400400	9	14001271	14002927	GO:0019748	secondary metabolic process	-45
Os09g0400400	9	14001271	14002927	GO:0009058	biosynthetic process	-45
Os09g0400400	9	14001271	14002927	GO:0008152	metabolic process	-45
Os09g0400400	9	14001271	14002927	GO:0009987	cellular process	-45
Os08g0547300	8	27420633	27422835	GO:0005488	binding	-45
Os06g0193200	6	4700512	4703042	GO:0030234	enzyme regulator activity	-45
Os06g0193200	6	4700512	4703042	GO:0008152	metabolic process	-45
Os08g0547300	8	27420633	27422835	GO:0003824	catalytic activity	-45
Os10g0531400	10	20645931	20646880	GO:0005737	cytoplasm	-45
Os10g0531400	10	20645931	20646880	GO:0005622	intracellular anatomical structure	-45
Os10g0531400	10	20645931	20646880	GO:0005575	cellular_component	-45
Os10g0531400	10	20645931	20646880	GO:0016740	transferase activity	-45
Os10g0531400	10	20645931	20646880	GO:0003824	catalytic activity	-45
Os10g0531400	10	20645931	20646880	GO:0003674	molecular_function	-45
Os10g0531400	10	20645931	20646880	GO:0008152	metabolic process	-45
Os10g0531400	10	20645931	20646880	GO:0009987	cellular process	-45
Os10g0531400	10	20645931	20646880	GO:0008150	biological_process	-45
Os10g0530900	10	20633891	20634928	GO:0042221	response to chemical	-45
Os10g0530900	10	20633891	20634928	GO:0005737	cytoplasm	-45
Os10g0530900	10	20633891	20634928	GO:0005622	intracellular anatomical structure	-45
Os10g0530900	10	20633891	20634928	GO:0005575	cellular_component	-45
Os10g0530900	10	20633891	20634928	GO:0016740	transferase activity	-45
Os10g0530900	10	20633891	20634928	GO:0003824	catalytic activity	-45
Os10g0531400	10	20645931	20646880	GO:0042221	response to chemical	-45
Os10g0463200	10	17070925	17072455	GO:0016787	hydrolase activity	-45
Os06g0193200	6	4700512	4703042	GO:0016787	hydrolase activity	-45
Os05g0475700	5	23386856	23388968	GO:0016020	membrane	-45
Os06g0193200	6	4700512	4703042	GO:0003674	molecular_function	-45
Os06g0697600	6	29184407	29186298	GO:0016787	hydrolase activity	-45
Os06g0193200	6	4700512	4703042	GO:0008150	biological_process	-45
Os06g0193200	6	4700512	4703042	GO:0065009	regulation of molecular function	-45
Os06g0193200	6	4700512	4703042	GO:0009987	cellular process	-45
Os08g0547300	8	27420633	27422835	GO:0003674	molecular_function	-45
Os05g0475700	5	23386856	23388968	GO:0005575	cellular_component	-45
Os06g0193200	6	4700512	4703042	GO:0005575	cellular_component	-45
Os06g0193200	6	4700512	4703042	GO:0005618	cell wall	-45
Os10g0530900	10	20633891	20634928	GO:0008150	biological_process	-45
Os10g0530900	10	20633891	20634928	GO:0009987	cellular process	-45
Os10g0530900	10	20633891	20634928	GO:0008152	metabolic process	-45
Os10g0530900	10	20633891	20634928	GO:0003674	molecular_function	-45
Os06g0193200	6	4700512	4703042	GO:0030312	external encapsulating structure	-45
Os03g0162200	3	3371375	3372344	GO:0003674	molecular_function	-45
Os03g0162200	3	3371375	3372344	GO:0005622	intracellular anatomical structure	-45
Os03g0628800	3	23989148	23997520	GO:0005488	binding	-45
Os11g0286800	11	10352224	10376610	GO:0009058	biosynthetic process	-45
Os07g0691700	7	29431144	29435262	GO:0008150	biological_process	-45
Os07g0691700	7	29431144	29435262	GO:0005856	cytoskeleton	-45
Os07g0691700	7	29431144	29435262	GO:0005622	intracellular anatomical structure	-45
Os07g0691700	7	29431144	29435262	GO:0005575	cellular_component	-45
Os03g0628800	3	23989148	23997520	GO:0003674	molecular_function	-45
Os06g0697600	6	29184407	29186298	GO:0003824	catalytic activity	-45
Os06g0697600	6	29184407	29186298	GO:0000166	nucleotide binding	-45
Os06g0697600	6	29184407	29186298	GO:0005488	binding	-45
Os06g0697600	6	29184407	29186298	GO:0003674	molecular_function	-45
Os03g0628800	3	23989148	23997520	GO:0000166	nucleotide binding	-45
Os03g0628800	3	23989148	23997520	GO:0003824	catalytic activity	-45
Os03g0628800	3	23989148	23997520	GO:0016740	transferase activity	-45
Os03g0628800	3	23989148	23997520	GO:0016301	kinase activity	-45
Os04g0340300	4	16057969	16068256	GO:0003674	molecular_function	-45
Os11g0286800	11	10352224	10376610	GO:0008152	metabolic process	-45
Os07g0691700	7	29431144	29435262	GO:0016043	cellular component organization	-45
Os11g0286800	11	10352224	10376610	GO:0009987	cellular process	-45
Os04g0340300	4	16057969	16068256	GO:0003824	catalytic activity	-45
Os04g0340300	4	16057969	16068256	GO:0005488	binding	-45
Os04g0340300	4	16057969	16068256	GO:0008150	biological_process	-45
Os04g0340300	4	16057969	16068256	GO:0009987	cellular process	-45
Os04g0340300	4	16057969	16068256	GO:0008152	metabolic process	-45
Os04g0340300	4	16057969	16068256	GO:0009058	biosynthetic process	-45
Os04g0340300	4	16057969	16068256	GO:0006629	lipid metabolic process	-45
Os11g0286800	11	10352224	10376610	GO:0008150	biological_process	-45
Os11g0286800	11	10352224	10376610	GO:0005622	intracellular anatomical structure	-45
Os11g0286800	11	10352224	10376610	GO:0005575	cellular_component	-45
Os11g0286800	11	10352224	10376610	GO:0003824	catalytic activity	-45
Os11g0286800	11	10352224	10376610	GO:0003674	molecular_function	-45
Os10g0463200	10	17070925	17072455	GO:0003674	molecular_function	-45
Os07g0691700	7	29431144	29435262	GO:0009987	cellular process	-45
Os06g0193200	6	4700512	4703042	GO:0016043	cellular component organization	-45
Os02g0783000	2	33221378	33223595	GO:0008150	biological_process	-45
Os02g0783000	2	33221378	33223595	GO:0030312	external encapsulating structure	-45
Os02g0783000	2	33221378	33223595	GO:0008152	metabolic process	-45
Os02g0783000	2	33221378	33223595	GO:0005975	carbohydrate metabolic process	-45
Os02g0783000	2	33221378	33223595	GO:0009987	cellular process	-45
Os02g0783000	2	33221378	33223595	GO:0065009	regulation of molecular function	-45
Os02g0783000	2	33221378	33223595	GO:0009056	catabolic process	-45
Os02g0783000	2	33221378	33223595	GO:0016020	membrane	-45
Os02g0783000	2	33221378	33223595	GO:0030234	enzyme regulator activity	-45
Os07g0691700	7	29431144	29435262	GO:0005488	binding	-45
Os02g0783000	2	33221378	33223595	GO:0005575	cellular_component	-45
Os02g0783000	2	33221378	33223595	GO:0003674	molecular_function	-45
Os02g0783000	2	33221378	33223595	GO:0005618	cell wall	-45
Os02g0783000	2	33221378	33223595	GO:0016043	cellular component organization	-45
Os07g0691700	7	29431144	29435262	GO:0005515	protein binding	-45
Os07g0691700	7	29431144	29435262	GO:0003674	molecular_function	-45
Os07g0691700	7	29431144	29435262	GO:0005737	cytoplasm	-45
Os11g0286800	11	10352224	10376610	GO:0006629	lipid metabolic process	-45
Os02g0783000	2	33221378	33223595	GO:0016787	hydrolase activity	-45
Os02g0783000	2	33221378	33223595	GO:0003824	catalytic activity	-45
Os09g0443800	9	16517244	16517767	GO:0016020	membrane	-46
Os09g0443800	9	16517244	16517767	GO:0005575	cellular_component	-46
Os09g0443800	9	16517244	16517767	GO:0009719	response to endogenous stimulus	-46
Os09g0272900	9	5471858	5491310	GO:0003674	molecular_function	-46
Os09g0272900	9	5471858	5491310	GO:0005488	binding	-46
Os09g0442600	9	16455568	16458585	GO:0003824	catalytic activity	-46
Os09g0272900	9	5471858	5491310	GO:0006950	response to stress	-46
Os09g0442600	9	16455568	16458585	GO:0016301	kinase activity	-46
Os09g0442600	9	16455568	16458585	GO:0016740	transferase activity	-46
Os09g0272900	9	5471858	5491310	GO:0008152	metabolic process	-46
Os09g0272900	9	5471858	5491310	GO:0009987	cellular process	-46
Os09g0272900	9	5471858	5491310	GO:0008150	biological_process	-46
Os09g0272900	9	5471858	5491310	GO:0005634	nucleus	-46
Os09g0272900	9	5471858	5491310	GO:0005737	cytoplasm	-46
Os09g0443800	9	16517244	16517767	GO:0005886	plasma membrane	-46
Os09g0272900	9	5471858	5491310	GO:0005622	intracellular anatomical structure	-46
Os09g0272900	9	5471858	5491310	GO:0005515	protein binding	-46
Os10g0527800	10	20498004	20499096	GO:0005622	intracellular anatomical structure	-46
Os09g0272900	9	5471858	5491310	GO:0019538	protein metabolic process	-46
Os09g0272900	9	5471858	5491310	GO:0009056	catabolic process	-46
Os09g0442600	9	16455568	16458585	GO:0005488	binding	-46
Os09g0442600	9	16455568	16458585	GO:0003674	molecular_function	-46
Os09g0442600	9	16455568	16458585	GO:0009536	plastid	-46
Os09g0443800	9	16517244	16517767	GO:0009987	cellular process	-46
Os09g0443800	9	16517244	16517767	GO:0008150	biological_process	-46
Os09g0443800	9	16517244	16517767	GO:0007154	cell communication	-46
Os09g0443800	9	16517244	16517767	GO:0007165	signal transduction	-46
Os09g0443800	9	16517244	16517767	GO:0042221	response to chemical	-46
Os09g0272900	9	5471858	5491310	GO:0005575	cellular_component	-46
Os10g0527800	10	20498004	20499096	GO:0008150	biological_process	-46
Os10g0527800	10	20498004	20499096	GO:0009987	cellular process	-46
Os10g0527800	10	20498004	20499096	GO:0008152	metabolic process	-46
Os03g0372600	3	14667776	14668383	GO:0005488	binding	-46
Os03g0372600	3	14667776	14668383	GO:0003674	molecular_function	-46
Os03g0372600	3	14667776	14668383	GO:0008150	biological_process	-46
Os03g0372600	3	14667776	14668383	GO:0006810	transport	-46
Os10g0527800	10	20498004	20499096	GO:0003674	molecular_function	-46
Os10g0527800	10	20498004	20499096	GO:0003824	catalytic activity	-46
Os10g0527800	10	20498004	20499096	GO:0016740	transferase activity	-46
Os10g0527800	10	20498004	20499096	GO:0005575	cellular_component	-46
Os09g0442600	9	16455568	16458585	GO:0000166	nucleotide binding	-46
Os10g0527800	10	20498004	20499096	GO:0005737	cytoplasm	-46
Os10g0527800	10	20498004	20499096	GO:0042221	response to chemical	-46
Os09g0272900	9	5471858	5491310	GO:0000166	nucleotide binding	-46
Os04g0179100	4	5380120	5380605	GO:0008150	biological_process	-46
Os07g0593000	7	24164226	24164995	GO:0003676	nucleic acid binding	-46
Os09g0442600	9	16455568	16458585	GO:0005575	cellular_component	-46
Os07g0593000	7	24164226	24164995	GO:0140110	transcription regulator activity	-46
Os07g0593000	7	24164226	24164995	GO:0003700	DNA-binding transcription factor activity	-46
Os07g0593000	7	24164226	24164995	GO:0006139	nucleobase-containing compound metabolic process	-46
Os07g0593000	7	24164226	24164995	GO:0009058	biosynthetic process	-46
Os07g0593000	7	24164226	24164995	GO:0008152	metabolic process	-46
Os07g0593000	7	24164226	24164995	GO:0009987	cellular process	-46
Os09g0442600	9	16455568	16458585	GO:0006139	nucleobase-containing compound metabolic process	-46
Os09g0442600	9	16455568	16458585	GO:0009507	chloroplast	-46
Os09g0442600	9	16455568	16458585	GO:0008152	metabolic process	-46
Os09g0442600	9	16455568	16458585	GO:0009987	cellular process	-46
Os09g0442600	9	16455568	16458585	GO:0008150	biological_process	-46
Os07g0593000	7	24164226	24164995	GO:0008150	biological_process	-46
Os07g0593000	7	24164226	24164995	GO:0005488	binding	-46
Os07g0593000	7	24164226	24164995	GO:0003674	molecular_function	-46
Os09g0442600	9	16455568	16458585	GO:0005737	cytoplasm	-46
Os09g0442600	9	16455568	16458585	GO:0005622	intracellular anatomical structure	-46
Os04g0179100	4	5380120	5380605	GO:0019748	secondary metabolic process	-46
Os04g0179100	4	5380120	5380605	GO:0003674	molecular_function	-46
Os04g0179100	4	5380120	5380605	GO:0003824	catalytic activity	-46
Os04g0179100	4	5380120	5380605	GO:0009987	cellular process	-46
Os04g0179100	4	5380120	5380605	GO:0008152	metabolic process	-46
Os04g0179100	4	5380120	5380605	GO:0009058	biosynthetic process	-46
Os11g0214900	11	5978273	5978986	GO:0009058	biosynthetic process	-47
Os04g0518800	4	25959399	25963504	GO:0005829	cytosol	-47
Os01g0814100	1	34626255	34628601	GO:0003674	molecular_function	-47
Os01g0814100	1	34626255	34628601	GO:0003824	catalytic activity	-47
Os11g0214900	11	5978273	5978986	GO:0008150	biological_process	-47
Os09g0472900	9	18067436	18068411	GO:0005575	cellular_component	-47
Os04g0518800	4	25959399	25963504	GO:0005575	cellular_component	-47
Os09g0472900	9	18067436	18068411	GO:0030312	external encapsulating structure	-47
Os11g0214900	11	5978273	5978986	GO:0008152	metabolic process	-47
Os09g0472900	9	18067436	18068411	GO:0005618	cell wall	-47
Os09g0472900	9	18067436	18068411	GO:0005576	extracellular region	-47
Os01g0814100	1	34626255	34628601	GO:0016787	hydrolase activity	-47
Os09g0472900	9	18067436	18068411	GO:0008150	biological_process	-47
Os09g0472900	9	18067436	18068411	GO:0009607	response to biotic stimulus	-47
Os09g0472900	9	18067436	18068411	GO:0009605	response to external stimulus	-47
Os01g0631800	1	25288392	25289157	GO:0016020	membrane	-47
Os01g0631800	1	25288392	25289157	GO:0005575	cellular_component	-47
Os04g0518800	4	25959399	25963504	GO:0005634	nucleus	-47
Os09g0472900	9	18067436	18068411	GO:0006950	response to stress	-47
Os11g0214900	11	5978273	5978986	GO:0009987	cellular process	-47
Os11g0214900	11	5978273	5978986	GO:0019748	secondary metabolic process	-47
Os04g0518800	4	25959399	25963504	GO:0005737	cytoplasm	-47
Os04g0518800	4	25959399	25963504	GO:0005622	intracellular anatomical structure	-47
Os11g0214900	11	5978273	5978986	GO:0005576	extracellular region	-47
Os08g0455900	8	22362338	22362868	GO:0016020	membrane	-47
Os04g0518800	4	25959399	25963504	GO:0008150	biological_process	-47
Os08g0455900	8	22362338	22362868	GO:0009987	cellular process	-47
Os08g0455900	8	22362338	22362868	GO:0008150	biological_process	-47
Os08g0455900	8	22362338	22362868	GO:0006810	transport	-47
Os08g0455900	8	22362338	22362868	GO:0003674	molecular_function	-47
Os08g0455900	8	22362338	22362868	GO:0005215	transporter activity	-47
Os04g0518800	4	25959399	25963504	GO:0016787	hydrolase activity	-47
Os04g0518800	4	25959399	25963504	GO:0003824	catalytic activity	-47
Os04g0518800	4	25959399	25963504	GO:0003674	molecular_function	-47
Os08g0455900	8	22362338	22362868	GO:0005886	plasma membrane	-47
Os08g0455900	8	22362338	22362868	GO:0019725	cellular homeostasis	-47
Os04g0518800	4	25959399	25963504	GO:0009987	cellular process	-47
Os08g0455900	8	22362338	22362868	GO:0005575	cellular_component	-47
Os04g0518800	4	25959399	25963504	GO:0009058	biosynthetic process	-47
Os04g0518800	4	25959399	25963504	GO:0008152	metabolic process	-47
Os11g0214900	11	5978273	5978986	GO:0005575	cellular_component	-47
Os03g0842501	3	35418613	35419057	GO:0016020	membrane	-47
Os03g0842501	3	35418613	35419057	GO:0005575	cellular_component	-47
Os03g0563100	3	20240367	20243969	GO:0005575	cellular_component	-48
Os03g0563100	3	20240367	20243969	GO:0016020	membrane	-48
Os12g0610800	12	25807637	25809339	GO:0003674	molecular_function	-48
Os12g0610800	12	25807637	25809339	GO:0005886	plasma membrane	-48
Os01g0525701	1	18835667	18836039	GO:0008150	biological_process	-48
Os12g0610800	12	25807637	25809339	GO:0016020	membrane	-48
Os01g0525701	1	18835667	18836039	GO:0016020	membrane	-48
Os04g0609300	4	30860607	30863363	GO:0016740	transferase activity	-48
Os04g0609300	4	30860607	30863363	GO:0003824	catalytic activity	-48
Os01g0525701	1	18835667	18836039	GO:0048856	anatomical structure development	-48
Os04g0609300	4	30860607	30863363	GO:0003674	molecular_function	-48
Os12g0610800	12	25807637	25809339	GO:0005575	cellular_component	-48
Os03g0563100	3	20240367	20243969	GO:0005975	carbohydrate metabolic process	-48
Os01g0525701	1	18835667	18836039	GO:0007275	multicellular organism development	-48
Os01g0525701	1	18835667	18836039	GO:0009987	cellular process	-48
Os01g0525701	1	18835667	18836039	GO:0005575	cellular_component	-48
Os01g0525701	1	18835667	18836039	GO:0005886	plasma membrane	-48
Os03g0563100	3	20240367	20243969	GO:0005488	binding	-48
Os03g0563100	3	20240367	20243969	GO:0000166	nucleotide binding	-48
Os03g0563100	3	20240367	20243969	GO:0009058	biosynthetic process	-48
Os03g0563100	3	20240367	20243969	GO:0009987	cellular process	-48
Os03g0563100	3	20240367	20243969	GO:0008150	biological_process	-48
Os03g0563100	3	20240367	20243969	GO:0003824	catalytic activity	-48
Os03g0563100	3	20240367	20243969	GO:0003674	molecular_function	-48
Os03g0563100	3	20240367	20243969	GO:0008152	metabolic process	-48
Os01g0778400	1	32946648	32946942	GO:0005575	cellular_component	-48
Os01g0778400	1	32946648	32946942	GO:0016020	membrane	-48
Os12g0610800	12	25807637	25809339	GO:0005488	binding	-48
Os05g0482400	5	23728568	23738372	GO:0005783	endoplasmic reticulum	-49
Os10g0180800	10	5539743	5544578	GO:0007154	cell communication	-49
Os10g0180800	10	5539743	5544578	GO:0007165	signal transduction	-49
Os10g0180800	10	5539743	5544578	GO:0000166	nucleotide binding	-49
Os10g0180800	10	5539743	5544578	GO:0005488	binding	-49
Os05g0482400	5	23728568	23738372	GO:0005488	binding	-49
Os10g0180800	10	5539743	5544578	GO:0003674	molecular_function	-49
Os05g0482400	5	23728568	23738372	GO:0005622	intracellular anatomical structure	-49
Os10g0180800	10	5539743	5544578	GO:0008150	biological_process	-49
Os10g0180800	10	5539743	5544578	GO:0008152	metabolic process	-49
Os10g0180800	10	5539743	5544578	GO:0036211	protein modification process	-49
Os10g0180800	10	5539743	5544578	GO:0019538	protein metabolic process	-49
Os10g0180800	10	5539743	5544578	GO:0030246	carbohydrate binding	-49
Os10g0180800	10	5539743	5544578	GO:0005886	plasma membrane	-49
Os05g0482400	5	23728568	23738372	GO:0016020	membrane	-49
Os10g0180800	10	5539743	5544578	GO:0009987	cellular process	-49
Os10g0180800	10	5539743	5544578	GO:0016301	kinase activity	-49
Os05g0482400	5	23728568	23738372	GO:0008150	biological_process	-49
Os10g0180800	10	5539743	5544578	GO:0016740	transferase activity	-49
Os05g0482400	5	23728568	23738372	GO:0005737	cytoplasm	-49
Os05g0482400	5	23728568	23738372	GO:0006629	lipid metabolic process	-49
Os05g0482400	5	23728568	23738372	GO:0009056	catabolic process	-49
Os05g0482400	5	23728568	23738372	GO:0003674	molecular_function	-49
