Gene stable ID	Chromosome/scaffold name	Gene start(bp)	Gene end(bp)	GOSlim GOA Accession(s)	GOSlim GOA Description	GOSlim_domain	HN-score(HN5)
Os11g0451700	11	15223376	15224746	GO:0008150	biological_process	biological_process	64
Os02g0649300	2	26143311	26144729	GO:0003677	DNA binding	molecular_function	64
Os02g0649300	2	26143311	26144729	GO:0005575	cellular_component	cellular_component	64
Os02g0649300	2	26143311	26144729	GO:0005622	intracellular anatomical structure	cellular_component	64
Os02g0649300	2	26143311	26144729	GO:0005634	nucleus	cellular_component	64
Os02g0649300	2	26143311	26144729	GO:0008150	biological_process	biological_process	64
Os08g0506000	8	25023316	25026380	GO:0003824	catalytic activity	molecular_function	64
Os11g0451700	11	15223376	15224746	GO:0009719	response to endogenous stimulus	biological_process	64
Os02g0649300	2	26143311	26144729	GO:0009987	cellular process	biological_process	64
Os02g0649300	2	26143311	26144729	GO:0008152	metabolic process	biological_process	64
Os02g0649300	2	26143311	26144729	GO:0009058	biosynthetic process	biological_process	64
Os02g0649300	2	26143311	26144729	GO:0006139	nucleobase-containing compound metabolic process	biological_process	64
Os02g0649300	2	26143311	26144729	GO:0003700	DNA-binding transcription factor activity	molecular_function	64
Os02g0649300	2	26143311	26144729	GO:0140110	transcription regulator activity	molecular_function	64
Os02g0649300	2	26143311	26144729	GO:0003676	nucleic acid binding	molecular_function	64
Os11g0451700	11	15223376	15224746	GO:0005575	cellular_component	cellular_component	64
Os08g0506000	8	25023316	25026380	GO:0019538	protein metabolic process	biological_process	64
Os11g0451700	11	15223376	15224746	GO:0005622	intracellular anatomical structure	cellular_component	64
Os11g0451700	11	15223376	15224746	GO:0009628	response to abiotic stimulus	biological_process	64
Os11g0451700	11	15223376	15224746	GO:0006950	response to stress	biological_process	64
Os08g0506000	8	25023316	25026380	GO:0016787	hydrolase activity	molecular_function	64
Os08g0506000	8	25023316	25026380	GO:0003674	molecular_function	molecular_function	64
Os08g0506000	8	25023316	25026380	GO:0008152	metabolic process	biological_process	64
Os08g0506000	8	25023316	25026380	GO:0036211	protein modification process	biological_process	64
Os08g0506000	8	25023316	25026380	GO:0008150	biological_process	biological_process	64
Os02g0649300	2	26143311	26144729	GO:0003674	molecular_function	molecular_function	64
Os02g0649300	2	26143311	26144729	GO:0005488	binding	molecular_function	64
Os11g0451700	11	15223376	15224746	GO:0005829	cytosol	cellular_component	64
Os11g0451700	11	15223376	15224746	GO:0005737	cytoplasm	cellular_component	64
Os03g0822400	3	34533182	34533828	GO:0005622	intracellular anatomical structure	cellular_component	63
Os03g0822400	3	34533182	34533828	GO:0005634	nucleus	cellular_component	63
Os03g0822400	3	34533182	34533828	GO:0016043	cellular component organization	biological_process	63
Os03g0822400	3	34533182	34533828	GO:0009987	cellular process	biological_process	63
Os03g0822400	3	34533182	34533828	GO:0007049	cell cycle	biological_process	63
Os03g0822400	3	34533182	34533828	GO:0008150	biological_process	biological_process	63
Os03g0822400	3	34533182	34533828	GO:0006139	nucleobase-containing compound metabolic process	biological_process	63
Os03g0822400	3	34533182	34533828	GO:0005575	cellular_component	cellular_component	63
Os03g0822400	3	34533182	34533828	GO:0006259	DNA metabolic process	biological_process	63
Os10g0335000	10	9616694	9618079	GO:0008152	metabolic process	biological_process	63
Os06g0681200	6	28388375	28389574	GO:0009987	cellular process	biological_process	63
Os10g0335000	10	9616694	9618079	GO:0019748	secondary metabolic process	biological_process	63
Os06g0681200	6	28388375	28389574	GO:0005575	cellular_component	cellular_component	63
Os02g0719700	2	29853571	29854458	GO:0009987	cellular process	biological_process	63
Os02g0719700	2	29853571	29854458	GO:0008150	biological_process	biological_process	63
Os02g0719700	2	29853571	29854458	GO:0005575	cellular_component	cellular_component	63
Os02g0719700	2	29853571	29854458	GO:0005488	binding	molecular_function	63
Os02g0719700	2	29853571	29854458	GO:0005515	protein binding	molecular_function	63
Os02g0719700	2	29853571	29854458	GO:0003674	molecular_function	molecular_function	63
Os06g0681200	6	28388375	28389574	GO:0005886	plasma membrane	cellular_component	63
Os06g0681200	6	28388375	28389574	GO:0016020	membrane	cellular_component	63
Os06g0681200	6	28388375	28389574	GO:0008150	biological_process	biological_process	63
Os06g0681200	6	28388375	28389574	GO:0003824	catalytic activity	molecular_function	63
Os06g0681200	6	28388375	28389574	GO:0003674	molecular_function	molecular_function	63
Os06g0681200	6	28388375	28389574	GO:0006091	generation of precursor metabolites and energy	biological_process	63
Os06g0681200	6	28388375	28389574	GO:0008152	metabolic process	biological_process	63
Os10g0335000	10	9616694	9618079	GO:0009058	biosynthetic process	biological_process	63
Os03g0822400	3	34533182	34533828	GO:0008152	metabolic process	biological_process	63
Os10g0335000	10	9616694	9618079	GO:0009987	cellular process	biological_process	63
Os10g0335000	10	9616694	9618079	GO:0005576	extracellular region	cellular_component	63
Os10g0335000	10	9616694	9618079	GO:0005575	cellular_component	cellular_component	63
Os10g0335000	10	9616694	9618079	GO:0008150	biological_process	biological_process	63
Os03g0416500	3	17288084	17292842	GO:0006091	generation of precursor metabolites and energy	biological_process	62
Os03g0416500	3	17288084	17292842	GO:0005737	cytoplasm	cellular_component	62
Os03g0416500	3	17288084	17292842	GO:0005622	intracellular anatomical structure	cellular_component	62
Os03g0416500	3	17288084	17292842	GO:0005575	cellular_component	cellular_component	62
Os03g0416500	3	17288084	17292842	GO:0005975	carbohydrate metabolic process	biological_process	62
Os03g0416500	3	17288084	17292842	GO:0006139	nucleobase-containing compound metabolic process	biological_process	62
Os03g0416500	3	17288084	17292842	GO:0009987	cellular process	biological_process	62
Os03g0416500	3	17288084	17292842	GO:0008152	metabolic process	biological_process	62
Os03g0416500	3	17288084	17292842	GO:0008150	biological_process	biological_process	62
Os03g0416500	3	17288084	17292842	GO:0016787	hydrolase activity	molecular_function	62
Os03g0416500	3	17288084	17292842	GO:0003824	catalytic activity	molecular_function	62
Os03g0416500	3	17288084	17292842	GO:0003674	molecular_function	molecular_function	62
Os03g0785900	3	32619263	32620205	GO:0016740	transferase activity	molecular_function	62
Os07g0633200	7	26265494	26268672	GO:0005737	cytoplasm	cellular_component	62
Os03g0785900	3	32619263	32620205	GO:0005575	cellular_component	cellular_component	62
Os07g0633200	7	26265494	26268672	GO:0016043	cellular component organization	biological_process	62
Os03g0785900	3	32619263	32620205	GO:0005622	intracellular anatomical structure	cellular_component	62
Os03g0785900	3	32619263	32620205	GO:0005737	cytoplasm	cellular_component	62
Os03g0785900	3	32619263	32620205	GO:0042221	response to chemical	biological_process	62
Os03g0785900	3	32619263	32620205	GO:0003824	catalytic activity	molecular_function	62
Os03g0785900	3	32619263	32620205	GO:0003674	molecular_function	molecular_function	62
Os03g0785900	3	32619263	32620205	GO:0008152	metabolic process	biological_process	62
Os03g0785900	3	32619263	32620205	GO:0009987	cellular process	biological_process	62
Os03g0785900	3	32619263	32620205	GO:0008150	biological_process	biological_process	62
Os04g0600300	4	30291463	30293040	GO:0005622	intracellular anatomical structure	cellular_component	62
Os07g0633200	7	26265494	26268672	GO:0003674	molecular_function	molecular_function	62
Os07g0633200	7	26265494	26268672	GO:0005488	binding	molecular_function	62
Os07g0633200	7	26265494	26268672	GO:0003723	RNA binding	molecular_function	62
Os07g0633200	7	26265494	26268672	GO:0003676	nucleic acid binding	molecular_function	62
Os07g0633200	7	26265494	26268672	GO:0005575	cellular_component	cellular_component	62
Os07g0633200	7	26265494	26268672	GO:0005622	intracellular anatomical structure	cellular_component	62
Os07g0633200	7	26265494	26268672	GO:0005634	nucleus	cellular_component	62
Os07g0633200	7	26265494	26268672	GO:0005654	nucleoplasm	cellular_component	62
Os07g0633200	7	26265494	26268672	GO:0008150	biological_process	biological_process	62
Os07g0633200	7	26265494	26268672	GO:0009987	cellular process	biological_process	62
Os07g0633200	7	26265494	26268672	GO:0008152	metabolic process	biological_process	62
Os07g0633200	7	26265494	26268672	GO:0006139	nucleobase-containing compound metabolic process	biological_process	62
Os04g0600300	4	30291463	30293040	GO:0005737	cytoplasm	cellular_component	62
Os12g0548401	12	22193325	22193831	GO:0006950	response to stress	biological_process	62
Os04g0600300	4	30291463	30293040	GO:0006091	generation of precursor metabolites and energy	biological_process	62
Os04g0600300	4	30291463	30293040	GO:0005488	binding	molecular_function	62
Os04g0600300	4	30291463	30293040	GO:0003674	molecular_function	molecular_function	62
Os04g0600300	4	30291463	30293040	GO:0016020	membrane	cellular_component	62
Os04g0600300	4	30291463	30293040	GO:0005575	cellular_component	cellular_component	62
Os12g0548401	12	22193325	22193831	GO:0008150	biological_process	biological_process	62
Os12g0548401	12	22193325	22193831	GO:0003674	molecular_function	molecular_function	62
Os12g0548401	12	22193325	22193831	GO:0030234	enzyme regulator activity	molecular_function	62
Os04g0600300	4	30291463	30293040	GO:0008152	metabolic process	biological_process	62
Os04g0600300	4	30291463	30293040	GO:0009987	cellular process	biological_process	62
Os04g0600300	4	30291463	30293040	GO:0008150	biological_process	biological_process	62
Os04g0600300	4	30291463	30293040	GO:0005739	mitochondrion	cellular_component	62
Os12g0548401	12	22193325	22193831	GO:0008152	metabolic process	biological_process	62
Os12g0548401	12	22193325	22193831	GO:0019538	protein metabolic process	biological_process	62
Os12g0548401	12	22193325	22193831	GO:0065009	regulation of molecular function	biological_process	62
Os04g0600300	4	30291463	30293040	GO:0003824	catalytic activity	molecular_function	62
Os02g0115900	2	838743	842672	GO:0009628	response to abiotic stimulus	biological_process	61
Os02g0115900	2	838743	842672	GO:0009056	catabolic process	biological_process	61
Os02g0115900	2	838743	842672	GO:0008152	metabolic process	biological_process	61
Os02g0115900	2	838743	842672	GO:0005783	endoplasmic reticulum	cellular_component	61
Os02g0115900	2	838743	842672	GO:0005773	vacuole	cellular_component	61
Os12g0600100	12	25242398	25246733	GO:0003674	molecular_function	molecular_function	61
Os04g0415800	4	20543471	20543934	GO:0006950	response to stress	biological_process	61
Os12g0600100	12	25242398	25246733	GO:0005515	protein binding	molecular_function	61
Os12g0600100	12	25242398	25246733	GO:0005488	binding	molecular_function	61
Os12g0600100	12	25242398	25246733	GO:0005575	cellular_component	cellular_component	61
Os12g0600100	12	25242398	25246733	GO:0005622	intracellular anatomical structure	cellular_component	61
Os03g0285700	3	9843336	9846670	GO:0008150	biological_process	biological_process	61
Os03g0285700	3	9843336	9846670	GO:0009987	cellular process	biological_process	61
Os03g0285700	3	9843336	9846670	GO:0008152	metabolic process	biological_process	61
Os03g0285700	3	9843336	9846670	GO:0009056	catabolic process	biological_process	61
Os02g0115900	2	838743	842672	GO:0016020	membrane	cellular_component	61
Os02g0115900	2	838743	842672	GO:0042221	response to chemical	biological_process	61
Os03g0727800	3	29685433	29686996	GO:0003674	molecular_function	molecular_function	61
Os03g0727800	3	29685433	29686996	GO:0005515	protein binding	molecular_function	61
Os02g0115900	2	838743	842672	GO:0005575	cellular_component	cellular_component	61
Os02g0115900	2	838743	842672	GO:0005622	intracellular anatomical structure	cellular_component	61
Os02g0115900	2	838743	842672	GO:0005634	nucleus	cellular_component	61
Os05g0135400	5	2073613	2075302	GO:0009987	cellular process	biological_process	61
Os05g0135400	5	2073613	2075302	GO:0042221	response to chemical	biological_process	61
Os05g0135400	5	2073613	2075302	GO:0003674	molecular_function	molecular_function	61
Os05g0135400	5	2073613	2075302	GO:0003824	catalytic activity	molecular_function	61
Os05g0135400	5	2073613	2075302	GO:0005488	binding	molecular_function	61
Os02g0115900	2	838743	842672	GO:0005737	cytoplasm	cellular_component	61
Os02g0115900	2	838743	842672	GO:0007154	cell communication	biological_process	61
Os02g0115900	2	838743	842672	GO:0007165	signal transduction	biological_process	61
Os04g0415800	4	20543471	20543934	GO:0003674	molecular_function	molecular_function	61
Os04g0415800	4	20543471	20543934	GO:0005488	binding	molecular_function	61
Os04g0415800	4	20543471	20543934	GO:0008289	lipid binding	molecular_function	61
Os04g0415800	4	20543471	20543934	GO:0008150	biological_process	biological_process	61
Os04g0415800	4	20543471	20543934	GO:0009607	response to biotic stimulus	biological_process	61
Os04g0415800	4	20543471	20543934	GO:0009605	response to external stimulus	biological_process	61
Os03g0285700	3	9843336	9846670	GO:0003674	molecular_function	molecular_function	61
Os03g0727800	3	29685433	29686996	GO:0005488	binding	molecular_function	61
Os03g0285700	3	9843336	9846670	GO:0042221	response to chemical	biological_process	61
Os03g0285700	3	9843336	9846670	GO:0005575	cellular_component	cellular_component	61
Os03g0285700	3	9843336	9846670	GO:0003824	catalytic activity	molecular_function	61
Os02g0115900	2	838743	842672	GO:0009987	cellular process	biological_process	61
Os09g0515550	9	20083070	20083372	GO:0006950	response to stress	biological_process	61
Os09g0515550	9	20083070	20083372	GO:0008150	biological_process	biological_process	61
Os09g0515550	9	20083070	20083372	GO:0016020	membrane	cellular_component	61
Os09g0515550	9	20083070	20083372	GO:0005575	cellular_component	cellular_component	61
Os05g0135400	5	2073613	2075302	GO:0008150	biological_process	biological_process	61
Os02g0115900	2	838743	842672	GO:0003674	molecular_function	molecular_function	61
Os02g0115900	2	838743	842672	GO:0005515	protein binding	molecular_function	61
Os02g0115900	2	838743	842672	GO:0005488	binding	molecular_function	61
Os03g0285700	3	9843336	9846670	GO:0006950	response to stress	biological_process	61
Os02g0115900	2	838743	842672	GO:0008150	biological_process	biological_process	61
Os02g0115900	2	838743	842672	GO:0000166	nucleotide binding	molecular_function	61
Os03g0285700	3	9843336	9846670	GO:0005737	cytoplasm	cellular_component	61
Os03g0285700	3	9843336	9846670	GO:0009536	plastid	cellular_component	61
Os02g0115900	2	838743	842672	GO:0003824	catalytic activity	molecular_function	61
Os03g0285700	3	9843336	9846670	GO:0005488	binding	molecular_function	61
Os05g0135400	5	2073613	2075302	GO:0006950	response to stress	biological_process	61
Os02g0115900	2	838743	842672	GO:0019538	protein metabolic process	biological_process	61
Os03g0285700	3	9843336	9846670	GO:0005622	intracellular anatomical structure	cellular_component	61
Os03g0285700	3	9843336	9846670	GO:0009507	chloroplast	cellular_component	61
Os02g0115900	2	838743	842672	GO:0016787	hydrolase activity	molecular_function	61
Os02g0115900	2	838743	842672	GO:0006950	response to stress	biological_process	61
Os10g0540800	10	21091977	21096586	GO:0005737	cytoplasm	cellular_component	60
Os10g0540800	10	21091977	21096586	GO:0008150	biological_process	biological_process	60
Os02g0504800	2	17952030	17957355	GO:0005575	cellular_component	cellular_component	60
Os10g0540800	10	21091977	21096586	GO:0005575	cellular_component	cellular_component	60
Os10g0540800	10	21091977	21096586	GO:0009987	cellular process	biological_process	60
Os10g0540800	10	21091977	21096586	GO:0008152	metabolic process	biological_process	60
Os10g0540800	10	21091977	21096586	GO:0009056	catabolic process	biological_process	60
Os10g0540800	10	21091977	21096586	GO:0006139	nucleobase-containing compound metabolic process	biological_process	60
Os10g0540800	10	21091977	21096586	GO:0005622	intracellular anatomical structure	cellular_component	60
Os10g0540800	10	21091977	21096586	GO:0003824	catalytic activity	molecular_function	60
Os10g0540800	10	21091977	21096586	GO:0003676	nucleic acid binding	molecular_function	60
Os10g0540800	10	21091977	21096586	GO:0003723	RNA binding	molecular_function	60
Os10g0540800	10	21091977	21096586	GO:0005488	binding	molecular_function	60
Os10g0540800	10	21091977	21096586	GO:0003674	molecular_function	molecular_function	60
Os11g0454000	11	15327769	15328657	GO:0042221	response to chemical	biological_process	60
Os11g0454000	11	15327769	15328657	GO:0009719	response to endogenous stimulus	biological_process	60
Os11g0454000	11	15327769	15328657	GO:0005575	cellular_component	cellular_component	60
Os11g0454000	11	15327769	15328657	GO:0005622	intracellular anatomical structure	cellular_component	60
Os11g0454000	11	15327769	15328657	GO:0005737	cytoplasm	cellular_component	60
Os11g0454000	11	15327769	15328657	GO:0005829	cytosol	cellular_component	60
Os11g0454000	11	15327769	15328657	GO:0006950	response to stress	biological_process	60
Os11g0454000	11	15327769	15328657	GO:0009628	response to abiotic stimulus	biological_process	60
Os11g0454000	11	15327769	15328657	GO:0008150	biological_process	biological_process	60
Os02g0504800	2	17952030	17957355	GO:0006629	lipid metabolic process	biological_process	60
Os10g0520700	10	20140666	20144848	GO:0003674	molecular_function	molecular_function	60
Os02g0504800	2	17952030	17957355	GO:0008150	biological_process	biological_process	60
Os02g0504800	2	17952030	17957355	GO:0009536	plastid	cellular_component	60
Os10g0520700	10	20140666	20144848	GO:0005488	binding	molecular_function	60
Os02g0504800	2	17952030	17957355	GO:0009507	chloroplast	cellular_component	60
Os02g0504800	2	17952030	17957355	GO:0003674	molecular_function	molecular_function	60
Os02g0504800	2	17952030	17957355	GO:0003824	catalytic activity	molecular_function	60
Os02g0504800	2	17952030	17957355	GO:0005488	binding	molecular_function	60
Os06g0716750	6	30444683	30445273	GO:0005575	cellular_component	cellular_component	60
Os02g0504800	2	17952030	17957355	GO:0009987	cellular process	biological_process	60
Os02g0504800	2	17952030	17957355	GO:0005737	cytoplasm	cellular_component	60
Os06g0716750	6	30444683	30445273	GO:0016020	membrane	cellular_component	60
Os02g0504800	2	17952030	17957355	GO:0005622	intracellular anatomical structure	cellular_component	60
Os02g0504800	2	17952030	17957355	GO:0008152	metabolic process	biological_process	60
Os02g0504800	2	17952030	17957355	GO:0009058	biosynthetic process	biological_process	60
Os07g0529000	7	20691213	20693521	GO:0005777	peroxisome	cellular_component	59
Os07g0529000	7	20691213	20693521	GO:0005737	cytoplasm	cellular_component	59
Os07g0529000	7	20691213	20693521	GO:0005975	carbohydrate metabolic process	biological_process	59
Os11g0707100	11	28938253	28939239	GO:0009536	plastid	cellular_component	59
Os11g0707100	11	28938253	28939239	GO:0009579	thylakoid	cellular_component	59
Os11g0707100	11	28938253	28939239	GO:0016020	membrane	cellular_component	59
Os11g0707100	11	28938253	28939239	GO:0003674	molecular_function	molecular_function	59
Os02g0125300	2	1326923	1330305	GO:0005575	cellular_component	cellular_component	59
Os11g0707100	11	28938253	28939239	GO:0030234	enzyme regulator activity	molecular_function	59
Os07g0529000	7	20691213	20693521	GO:0003824	catalytic activity	molecular_function	59
Os07g0529000	7	20691213	20693521	GO:0003674	molecular_function	molecular_function	59
Os11g0707100	11	28938253	28939239	GO:0005575	cellular_component	cellular_component	59
Os11g0707100	11	28938253	28939239	GO:0005622	intracellular anatomical structure	cellular_component	59
Os02g0125300	2	1326923	1330305	GO:0009987	cellular process	biological_process	59
Os07g0529000	7	20691213	20693521	GO:0006091	generation of precursor metabolites and energy	biological_process	59
Os07g0529000	7	20691213	20693521	GO:0008152	metabolic process	biological_process	59
Os07g0529000	7	20691213	20693521	GO:0009987	cellular process	biological_process	59
Os03g0268600	3	8921424	8923437	GO:0005488	binding	molecular_function	59
Os11g0707100	11	28938253	28939239	GO:0009507	chloroplast	cellular_component	59
Os11g0707100	11	28938253	28939239	GO:0005737	cytoplasm	cellular_component	59
Os02g0125300	2	1326923	1330305	GO:0016020	membrane	cellular_component	59
Os07g0529000	7	20691213	20693521	GO:0008150	biological_process	biological_process	59
Os07g0529000	7	20691213	20693521	GO:0005488	binding	molecular_function	59
Os07g0529000	7	20691213	20693521	GO:0005575	cellular_component	cellular_component	59
Os02g0125300	2	1326923	1330305	GO:0008219	cell death	biological_process	59
Os07g0529000	7	20691213	20693521	GO:0005622	intracellular anatomical structure	cellular_component	59
Os03g0268600	3	8921424	8923437	GO:0003674	molecular_function	molecular_function	59
Os03g0268600	3	8921424	8923437	GO:0009987	cellular process	biological_process	59
Os03g0268600	3	8921424	8923437	GO:0008150	biological_process	biological_process	59
Os10g0320100	10	8679311	8681266	GO:0003674	molecular_function	molecular_function	59
Os02g0125300	2	1326923	1330305	GO:0008150	biological_process	biological_process	59
Os03g0268600	3	8921424	8923437	GO:0019538	protein metabolic process	biological_process	59
Os03g0268600	3	8921424	8923437	GO:0036211	protein modification process	biological_process	59
Os03g0268600	3	8921424	8923437	GO:0008152	metabolic process	biological_process	59
Os03g0268600	3	8921424	8923437	GO:0005515	protein binding	molecular_function	59
Os03g0268600	3	8921424	8923437	GO:0016787	hydrolase activity	molecular_function	59
Os03g0268600	3	8921424	8923437	GO:0003824	catalytic activity	molecular_function	59
Os03g0268600	3	8921424	8923437	GO:0005829	cytosol	cellular_component	59
Os03g0268600	3	8921424	8923437	GO:0005737	cytoplasm	cellular_component	59
Os03g0268600	3	8921424	8923437	GO:0005634	nucleus	cellular_component	59
Os03g0268600	3	8921424	8923437	GO:0005622	intracellular anatomical structure	cellular_component	59
Os03g0268600	3	8921424	8923437	GO:0005575	cellular_component	cellular_component	59
Os03g0268600	3	8921424	8923437	GO:0009719	response to endogenous stimulus	biological_process	59
Os03g0268600	3	8921424	8923437	GO:0042221	response to chemical	biological_process	59
Os10g0320100	10	8679311	8681266	GO:0003824	catalytic activity	molecular_function	59
Os03g0268600	3	8921424	8923437	GO:0048856	anatomical structure development	biological_process	59
Os10g0320100	10	8679311	8681266	GO:0008150	biological_process	biological_process	59
Os10g0320100	10	8679311	8681266	GO:0008152	metabolic process	biological_process	59
Os10g0320100	10	8679311	8681266	GO:0009058	biosynthetic process	biological_process	59
Os10g0320100	10	8679311	8681266	GO:0005575	cellular_component	cellular_component	59
Os03g0268600	3	8921424	8923437	GO:0007165	signal transduction	biological_process	59
Os10g0320100	10	8679311	8681266	GO:0016020	membrane	cellular_component	59
Os10g0320100	10	8679311	8681266	GO:0005488	binding	molecular_function	59
Os03g0268600	3	8921424	8923437	GO:0007154	cell communication	biological_process	59
Os03g0268600	3	8921424	8923437	GO:0009791	post-embryonic development	biological_process	59
Os03g0268600	3	8921424	8923437	GO:0007275	multicellular organism development	biological_process	59
Os04g0589800	4	29811954	29812662	GO:0009790	embryo development	biological_process	58
Os04g0589800	4	29811954	29812662	GO:0009791	post-embryonic development	biological_process	58
Os04g0589800	4	29811954	29812662	GO:0048856	anatomical structure development	biological_process	58
Os06g0697200	6	29163800	29166676	GO:0009987	cellular process	biological_process	58
Os04g0589800	4	29811954	29812662	GO:0007275	multicellular organism development	biological_process	58
Os06g0697200	6	29163800	29166676	GO:0008152	metabolic process	biological_process	58
Os02g0630300	2	25199505	25203742	GO:0003824	catalytic activity	molecular_function	58
Os06g0697200	6	29163800	29166676	GO:0005575	cellular_component	cellular_component	58
Os04g0589800	4	29811954	29812662	GO:0000003	reproduction	biological_process	58
Os06g0697200	6	29163800	29166676	GO:0003674	molecular_function	molecular_function	58
Os02g0630300	2	25199505	25203742	GO:0005488	binding	molecular_function	58
Os02g0630300	2	25199505	25203742	GO:0003674	molecular_function	molecular_function	58
Os06g0697200	6	29163800	29166676	GO:0003824	catalytic activity	molecular_function	58
Os06g0697200	6	29163800	29166676	GO:0005488	binding	molecular_function	58
Os06g0697200	6	29163800	29166676	GO:0003723	RNA binding	molecular_function	58
Os06g0697200	6	29163800	29166676	GO:0000166	nucleotide binding	molecular_function	58
Os06g0697200	6	29163800	29166676	GO:0003676	nucleic acid binding	molecular_function	58
Os06g0697200	6	29163800	29166676	GO:0005622	intracellular anatomical structure	cellular_component	58
Os06g0697200	6	29163800	29166676	GO:0005634	nucleus	cellular_component	58
Os06g0697200	6	29163800	29166676	GO:0006139	nucleobase-containing compound metabolic process	biological_process	58
Os06g0697200	6	29163800	29166676	GO:0016787	hydrolase activity	molecular_function	58
Os06g0697200	6	29163800	29166676	GO:0008150	biological_process	biological_process	58
Os04g0589800	4	29811954	29812662	GO:0008150	biological_process	biological_process	58
Os07g0549800	7	21823012	21825223	GO:0005488	binding	molecular_function	57
Os05g0200500	5	6273311	6282541	GO:0036211	protein modification process	biological_process	57
Os05g0200500	5	6273311	6282541	GO:0019538	protein metabolic process	biological_process	57
Os05g0200500	5	6273311	6282541	GO:0008152	metabolic process	biological_process	57
Os05g0200500	5	6273311	6282541	GO:0007165	signal transduction	biological_process	57
Os05g0200500	5	6273311	6282541	GO:0003674	molecular_function	molecular_function	57
Os05g0200500	5	6273311	6282541	GO:0005488	binding	molecular_function	57
Os05g0200500	5	6273311	6282541	GO:0000166	nucleotide binding	molecular_function	57
Os05g0200500	5	6273311	6282541	GO:0006810	transport	biological_process	57
Os07g0549800	7	21823012	21825223	GO:0003723	RNA binding	molecular_function	57
Os07g0549800	7	21823012	21825223	GO:0003676	nucleic acid binding	molecular_function	57
Os07g0549800	7	21823012	21825223	GO:0005575	cellular_component	cellular_component	57
Os05g0200500	5	6273311	6282541	GO:0009987	cellular process	biological_process	57
Os04g0452500	4	22582841	22592982	GO:0005575	cellular_component	cellular_component	57
Os04g0452500	4	22582841	22592982	GO:0005622	intracellular anatomical structure	cellular_component	57
Os04g0452500	4	22582841	22592982	GO:0005634	nucleus	cellular_component	57
Os07g0549800	7	21823012	21825223	GO:0003674	molecular_function	molecular_function	57
Os04g0452500	4	22582841	22592982	GO:0016043	cellular component organization	biological_process	57
Os04g0452500	4	22582841	22592982	GO:0005515	protein binding	molecular_function	57
Os05g0200500	5	6273311	6282541	GO:0007154	cell communication	biological_process	57
Os04g0167875	4	4644736	4644996	GO:0003674	molecular_function	molecular_function	57
Os04g0167875	4	4644736	4644996	GO:0003824	catalytic activity	molecular_function	57
Os04g0167875	4	4644736	4644996	GO:0016787	hydrolase activity	molecular_function	57
Os04g0452500	4	22582841	22592982	GO:0000003	reproduction	biological_process	57
Os04g0452500	4	22582841	22592982	GO:0009987	cellular process	biological_process	57
Os04g0452500	4	22582841	22592982	GO:0006139	nucleobase-containing compound metabolic process	biological_process	57
Os05g0200500	5	6273311	6282541	GO:0016301	kinase activity	molecular_function	57
Os04g0452500	4	22582841	22592982	GO:0003674	molecular_function	molecular_function	57
Os04g0452500	4	22582841	22592982	GO:0006259	DNA metabolic process	biological_process	57
Os04g0452500	4	22582841	22592982	GO:0005488	binding	molecular_function	57
Os05g0200500	5	6273311	6282541	GO:0008150	biological_process	biological_process	57
Os04g0452500	4	22582841	22592982	GO:0007049	cell cycle	biological_process	57
Os05g0200500	5	6273311	6282541	GO:0016740	transferase activity	molecular_function	57
Os05g0200500	5	6273311	6282541	GO:0003824	catalytic activity	molecular_function	57
Os04g0452500	4	22582841	22592982	GO:0008152	metabolic process	biological_process	57
Os05g0200500	5	6273311	6282541	GO:0005737	cytoplasm	cellular_component	57
Os05g0200500	5	6273311	6282541	GO:0005634	nucleus	cellular_component	57
Os05g0200500	5	6273311	6282541	GO:0005622	intracellular anatomical structure	cellular_component	57
Os05g0200500	5	6273311	6282541	GO:0005575	cellular_component	cellular_component	57
Os04g0452500	4	22582841	22592982	GO:0008150	biological_process	biological_process	57
Os12g0270900	12	9821581	9823929	GO:0008152	metabolic process	biological_process	56
Os03g0820300	3	34424180	34425030	GO:0003676	nucleic acid binding	molecular_function	56
Os06g0146800	6	2449205	2449822	GO:0016020	membrane	cellular_component	56
Os04g0167900	4	4649129	4649773	GO:0003824	catalytic activity	molecular_function	56
Os03g0820300	3	34424180	34425030	GO:0005488	binding	molecular_function	56
Os06g0146800	6	2449205	2449822	GO:0005575	cellular_component	cellular_component	56
Os03g0820300	3	34424180	34425030	GO:0003674	molecular_function	molecular_function	56
Os04g0167900	4	4649129	4649773	GO:0003674	molecular_function	molecular_function	56
Os12g0270900	12	9821581	9823929	GO:0005737	cytoplasm	cellular_component	56
Os12g0270900	12	9821581	9823929	GO:0008150	biological_process	biological_process	56
Os12g0270900	12	9821581	9823929	GO:0009987	cellular process	biological_process	56
Os05g0442400	5	21654183	21655380	GO:0005575	cellular_component	cellular_component	56
Os12g0270900	12	9821581	9823929	GO:0003824	catalytic activity	molecular_function	56
Os05g0442400	5	21654183	21655380	GO:0005622	intracellular anatomical structure	cellular_component	56
Os04g0438600	4	21812159	21816137	GO:0005737	cytoplasm	cellular_component	56
Os04g0438600	4	21812159	21816137	GO:0005829	cytosol	cellular_component	56
Os05g0442400	5	21654183	21655380	GO:0003677	DNA binding	molecular_function	56
Os05g0442400	5	21654183	21655380	GO:0003676	nucleic acid binding	molecular_function	56
Os12g0270900	12	9821581	9823929	GO:0005622	intracellular anatomical structure	cellular_component	56
